Website,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Duration,Bits/s A → B,Bits/s B → A
youtube.csv,1,707,1,707,0,0,156.273824,36,0
youtube.csv,1,703,1,703,0,0,149.351048,37,0
youtube.csv,1,727,1,727,0,0,139.385764,41,0
youtube.csv,1,727,1,727,0,0,139.29181899999998,41,0
youtube.csv,1,717,1,717,0,0,113.802616,50,0
youtube.csv,1,722,1,722,0,0,110.210171,52,0
youtube.csv,1,737,1,737,0,0,28.52019300000001,206,0
youtube.csv,1,717,1,717,0,0,128.417935,44,0
youtube.csv,1,737,1,737,0,0,124.47966499999995,47,0
youtube.csv,1,722,1,722,0,0,123.802906,46,0
youtube.csv,1,717,1,717,0,0,109.17224799999995,52,0
youtube.csv,1,722,1,722,0,0,105.66533100000004,54,0
youtube.csv,1,717,1,717,0,0,34.01705700000002,168,0
youtube.csv,1,722,1,722,0,0,29.99339199999997,192,0
youtube.csv,1,717,1,717,0,0,419.0443900000001,13,0
youtube.csv,1,722,1,722,0,0,213.58237600000007,27,0
youtube.csv,1,737,1,737,0,0,0.0849259999999958,69425,0
youtube.csv,1,1466,0,0,1,1466,0.1161529999999402,0,100970
youtube.csv,1,717,1,717,0,0,494.401562,11,0
youtube.csv,1,722,1,722,0,0,170.29148499999997,33,0
youtube.csv,1,737,1,737,0,0,269.6256920000001,21,0
youtube.csv,1,1292,1,1292,0,0,183.732399,56,0
youtube.csv,1,717,1,717,0,0,136.9951450000001,41,0
youtube.csv,1,722,1,722,0,0,132.9953300000002,43,0
youtube.csv,1,717,1,717,0,0,80.506212,71,0
youtube.csv,1,722,1,722,0,0,76.51662099999999,75,0
